SDR1,SDR2,subset_sim
Zhen_SDR_19,Zhen_SDR_26,0.302114804
Zhen_SDR_19,Zhen_SDR_27,0.081280788
Zhen_SDR_19,Zhen_SDR_28,0.114666667
Zhen_SDR_19,Zhen_SDR_29,0.41221374
Zhen_SDR_19,Zhen_SDR_30,0.322580645
Zhen_SDR_19,Zhen_SDR_31,0.28956229
Zhen_SDR_19,Zhen_SDR_32,0.299382716
Zhen_SDR_19,Zhen_SDR_33,0.342007435
Zhen_SDR_19,Zhen_SDR_34,0.255617978
Zhen_SDR_19,Zhen_SDR_35,0.259016393
Zhen_SDR_19,Zhen_SDR_36,0.285211268
Zhen_SDR_19,Zhen_SDR_37,0.284768212
Zhen_SDR_19,Zhen_SDR_38,0.279310345
Zhen_SDR_19,Zhen_SDR_39,0.242138365
Zhen_SDR_19,Zhen_SDR_40,0.213166144
Zhen_SDR_19,Zhen_SDR_42,0.096256684
Zhen_SDR_19,Zhen_SDR_43,0.217821782
Zhen_SDR_19,Zhen_SDR_44,0.284722222
Zhen_SDR_19,Zhen_SDR_45,0.315972222
Zhen_SDR_19,Zhen_SDR_46,0.265100671
Zhen_SDR_19,Zhen_SDR_47,0.27245509
Zhen_SDR_19,Zhen_SDR_48,0.255952381
Zhen_SDR_19,Zhen_SDR_49,0.138728324
Zhen_SDR_19,Zhen_SDR_50,0.265175719
Zhen_SDR_19,Zhen_SDR_51,0.335820896
Zhen_SDR_19,Zhen_SDR_52,0.384615385
Zhen_SDR_19,Zhen_SDR_53,0.271777003
Zhen_SDR_19,Zhen_SDR_54,0.252279635
Zhen_SDR_19,Zhen_SDR_55,0.261168385
Zhen_SDR_19,Zhen_SDR_56,0.233009709
Zhen_SDR_19,Zhen_SDR_57,0.365019011
Zhen_SDR_19,Zhen_SDR_58,0.231428571
Zhen_SDR_19,Zhen_SDR_59,0.260869565
Zhen_SDR_19,Zhen_SDR_60,0.300724638
Zhen_SDR_19,Zhen_SDR_61,0.31598513
Zhen_SDR_19,Zhen_SDR_62,0.264705882
Zhen_SDR_19,Zhen_SDR_63,0.243055556
Zhen_SDR_19,Zhen_SDR_64,0.228956229
Zhen_SDR_19,Zhen_SDR_65,0.171764706
Zhen_SDR_19,Zhen_SDR_66,0.274647887
Zhen_SDR_19,Zhen_SDR_67,0.239875389
Zhen_SDR_19,Zhen_SDR_68,0.266666667
Zhen_SDR_19,Zhen_SDR_69,0.360594796
Zhen_SDR_19,Zhen_SDR_71,0.359073359
Zhen_SDR_19,Zhen_SDR_72,0.242524917
Zhen_SDR_19,Zhen_SDR_73,0.304054054
Zhen_SDR_19,Zhen_SDR_74,0.261484099
Zhen_SDR_19,Zhen_SDR_75,0.312056738
Zhen_SDR_19,Zhen_SDR_76,0.333333333
Zhen_SDR_19,Zhen_SDR_77,0.254901961
Zhen_SDR_19,Zhen_SDR_78,0.093264249
Zhen_SDR_19,Zhen_SDR_79,0.242990654
Zhen_SDR_19,Zhen_SDR_80,0.082627119
Zhen_SDR_19,Zhen_SDR_81,0.280898876
Zhen_SDR_19,Zhen_SDR_82,0.260416667
Zhen_SDR_19,Zhen_SDR_83,0.198795181
Zhen_SDR_19,Zhen_SDR_84,0.275449102
Zhen_SDR_19,Zhen_SDR_85,0.298245614
Zhen_SDR_19,Zhen_SDR_86,0.322344322
Zhen_SDR_19,Zhen_SDR_87,0.269230769
Zhen_SDR_19,Zhen_SDR_88,0.248407643
Zhen_SDR_19,Zhen_SDR_89,0.284722222
Zhen_SDR_19,Zhen_SDR_90,0.280141844
Zhen_SDR_19,Zhen_SDR_91,0.150724638
Zhen_SDR_19,Zhen_SDR_92,0.2265625
Zhen_SDR_19,Zhen_SDR_93,0.259701493
Zhen_SDR_21,Zhen_SDR_22,0.297945205
Zhen_SDR_21,Zhen_SDR_23,0.203225806
Zhen_SDR_21,Zhen_SDR_24,0.185714286
Zhen_SDR_21,Zhen_SDR_25,0.280966767
Zhen_SDR_21,Zhen_SDR_26,0.085648148
Zhen_SDR_21,Zhen_SDR_27,0.182608696
Zhen_SDR_21,Zhen_SDR_28,0.297577855
Zhen_SDR_21,Zhen_SDR_29,0.340740741
Zhen_SDR_21,Zhen_SDR_30,0.28956229
Zhen_SDR_21,Zhen_SDR_31,0.297385621
Zhen_SDR_21,Zhen_SDR_32,0.288690476
Zhen_SDR_21,Zhen_SDR_33,0.328467153
Zhen_SDR_21,Zhen_SDR_34,0.107526882
Zhen_SDR_21,Zhen_SDR_35,0.34519573
Zhen_SDR_21,Zhen_SDR_36,0.250803859
Zhen_SDR_21,Zhen_SDR_37,0.253731343
Zhen_SDR_21,Zhen_SDR_38,0.284829721
Zhen_SDR_21,Zhen_SDR_39,0.296529968
Zhen_SDR_21,Zhen_SDR_40,0.093366093
Zhen_SDR_21,Zhen_SDR_42,0.340659341
Zhen_SDR_21,Zhen_SDR_43,0.018099548
Zhen_SDR_21,Zhen_SDR_44,0.278745645
Zhen_SDR_21,Zhen_SDR_45,0.317725753
Zhen_SDR_21,Zhen_SDR_46,0.340740741
Zhen_SDR_21,Zhen_SDR_47,0.237430168
Zhen_SDR_21,Zhen_SDR_48,0.279883382
Zhen_SDR_21,Zhen_SDR_49,0.182634731
Zhen_SDR_21,Zhen_SDR_50,0.253869969
Zhen_SDR_21,Zhen_SDR_51,0.335616438
Zhen_SDR_21,Zhen_SDR_52,0.282392027
Zhen_SDR_21,Zhen_SDR_53,0.347985348
Zhen_SDR_21,Zhen_SDR_54,0.245454545
Zhen_SDR_21,Zhen_SDR_55,0.23943662
Zhen_SDR_21,Zhen_SDR_56,0.273648649
Zhen_SDR_21,Zhen_SDR_57,0.237341772
Zhen_SDR_21,Zhen_SDR_58,0.234332425
Zhen_SDR_21,Zhen_SDR_59,0.354609929
Zhen_SDR_21,Zhen_SDR_60,0.323420074
Zhen_SDR_21,Zhen_SDR_61,0.355311355
Zhen_SDR_21,Zhen_SDR_62,0.255952381
Zhen_SDR_21,Zhen_SDR_63,0.109589041
Zhen_SDR_21,Zhen_SDR_64,0.327205882
Zhen_SDR_21,Zhen_SDR_65,0.190697674
Zhen_SDR_21,Zhen_SDR_66,0.170087977
Zhen_SDR_21,Zhen_SDR_67,0.263492063
Zhen_SDR_21,Zhen_SDR_68,0.272108844
Zhen_SDR_21,Zhen_SDR_69,0.139534884
Zhen_SDR_21,Zhen_SDR_71,0.307958478
Zhen_SDR_21,Zhen_SDR_72,0.202453988
Zhen_SDR_21,Zhen_SDR_73,0.323432343
Zhen_SDR_21,Zhen_SDR_74,0.325
Zhen_SDR_21,Zhen_SDR_75,0.220858896
Zhen_SDR_21,Zhen_SDR_76,0.335766423
Zhen_SDR_21,Zhen_SDR_77,0.272131148
Zhen_SDR_21,Zhen_SDR_78,0.364285714
Zhen_SDR_21,Zhen_SDR_79,0.124681934
Zhen_SDR_21,Zhen_SDR_80,0.213032581
Zhen_SDR_21,Zhen_SDR_81,0.288256228
Zhen_SDR_21,Zhen_SDR_82,0.098484848
Zhen_SDR_21,Zhen_SDR_83,0.201680672
Zhen_SDR_21,Zhen_SDR_84,0.25
Zhen_SDR_21,Zhen_SDR_85,0.125333333
Zhen_SDR_21,Zhen_SDR_86,0.31010453
Zhen_SDR_21,Zhen_SDR_87,0.28525641
Zhen_SDR_21,Zhen_SDR_88,0.323432343
Zhen_SDR_21,Zhen_SDR_89,0.341549296
Zhen_SDR_21,Zhen_SDR_90,0.263322884
Zhen_SDR_21,Zhen_SDR_91,0.184615385
Zhen_SDR_21,Zhen_SDR_92,0.168292683
Zhen_SDR_21,Zhen_SDR_93,0.275964392
Zhen_SDR_20,Zhen_SDR_21,0.289655172
Zhen_SDR_20,Zhen_SDR_22,0.327338129
Zhen_SDR_20,Zhen_SDR_23,0.230283912
Zhen_SDR_20,Zhen_SDR_24,0.083857442
Zhen_SDR_20,Zhen_SDR_25,0.29903537
Zhen_SDR_20,Zhen_SDR_26,0.102088167
Zhen_SDR_20,Zhen_SDR_27,0.197142857
Zhen_SDR_20,Zhen_SDR_28,0.317518248
Zhen_SDR_20,Zhen_SDR_29,0.357933579
Zhen_SDR_20,Zhen_SDR_30,0.164305949
Zhen_SDR_20,Zhen_SDR_31,0.3125
Zhen_SDR_20,Zhen_SDR_32,0.315789474
Zhen_SDR_20,Zhen_SDR_33,0.380228137
Zhen_SDR_20,Zhen_SDR_34,0.041666667
Zhen_SDR_20,Zhen_SDR_35,0.256716418
Zhen_SDR_20,Zhen_SDR_36,0.340501792
Zhen_SDR_20,Zhen_SDR_37,0.326984127
Zhen_SDR_20,Zhen_SDR_38,0.124378109
Zhen_SDR_20,Zhen_SDR_39,0.28
Zhen_SDR_20,Zhen_SDR_40,0.300970874
Zhen_SDR_20,Zhen_SDR_42,0.278350515
Zhen_SDR_20,Zhen_SDR_43,0.272425249
Zhen_SDR_20,Zhen_SDR_44,0.245098039
Zhen_SDR_20,Zhen_SDR_45,0.387900356
Zhen_SDR_20,Zhen_SDR_46,0.28125
Zhen_SDR_20,Zhen_SDR_47,0.295180723
Zhen_SDR_20,Zhen_SDR_48,0.268011527
Zhen_SDR_20,Zhen_SDR_49,0.192771084
Zhen_SDR_20,Zhen_SDR_50,0.120906801
Zhen_SDR_20,Zhen_SDR_51,0.351916376
Zhen_SDR_20,Zhen_SDR_52,0.342007435
Zhen_SDR_20,Zhen_SDR_53,0.294117647
Zhen_SDR_20,Zhen_SDR_54,0.259016393
Zhen_SDR_20,Zhen_SDR_55,0.343396226
Zhen_SDR_20,Zhen_SDR_56,0.3
Zhen_SDR_20,Zhen_SDR_57,0.257668712
Zhen_SDR_20,Zhen_SDR_58,0.241935484
Zhen_SDR_20,Zhen_SDR_59,0.318996416
Zhen_SDR_20,Zhen_SDR_60,0.319298246
Zhen_SDR_20,Zhen_SDR_61,0.224683544
Zhen_SDR_20,Zhen_SDR_62,0.309375
Zhen_SDR_20,Zhen_SDR_63,0.296992481
Zhen_SDR_20,Zhen_SDR_64,0.283216783
Zhen_SDR_20,Zhen_SDR_65,0.23
Zhen_SDR_20,Zhen_SDR_66,0.222222222
Zhen_SDR_20,Zhen_SDR_67,0.305732484
Zhen_SDR_20,Zhen_SDR_68,0.343065693
Zhen_SDR_20,Zhen_SDR_69,0.324817518
Zhen_SDR_20,Zhen_SDR_71,0.299651568
Zhen_SDR_20,Zhen_SDR_72,0.021459227
Zhen_SDR_20,Zhen_SDR_73,0.318644068
Zhen_SDR_20,Zhen_SDR_74,0.323943662
Zhen_SDR_20,Zhen_SDR_75,0.201834862
Zhen_SDR_20,Zhen_SDR_76,0.27972028
Zhen_SDR_20,Zhen_SDR_77,0.049217002
Zhen_SDR_20,Zhen_SDR_78,0.307142857
Zhen_SDR_20,Zhen_SDR_79,0.303333333
Zhen_SDR_20,Zhen_SDR_80,0.113684211
Zhen_SDR_20,Zhen_SDR_81,0.321299639
Zhen_SDR_20,Zhen_SDR_82,0.336842105
Zhen_SDR_20,Zhen_SDR_83,0.2875
Zhen_SDR_20,Zhen_SDR_84,0.269794721
Zhen_SDR_20,Zhen_SDR_85,0.232198142
Zhen_SDR_20,Zhen_SDR_86,0.181034483
Zhen_SDR_20,Zhen_SDR_87,0.206395349
Zhen_SDR_20,Zhen_SDR_88,0.201133144
Zhen_SDR_20,Zhen_SDR_89,0.336842105
Zhen_SDR_20,Zhen_SDR_90,0.3183391
Zhen_SDR_20,Zhen_SDR_91,0.302013423
Zhen_SDR_20,Zhen_SDR_92,0.257372654
Zhen_SDR_20,Zhen_SDR_93,0.185483871
Zhen_SDR_22,Zhen_SDR_23,0.222580645
Zhen_SDR_22,Zhen_SDR_24,0.195180723
Zhen_SDR_22,Zhen_SDR_25,0.292063492
Zhen_SDR_22,Zhen_SDR_26,0.285714286
Zhen_SDR_22,Zhen_SDR_27,0.256880734
Zhen_SDR_22,Zhen_SDR_28,0.261016949
Zhen_SDR_22,Zhen_SDR_29,0.406130268
Zhen_SDR_22,Zhen_SDR_30,0.313531353
Zhen_SDR_22,Zhen_SDR_31,0.246200608
Zhen_SDR_22,Zhen_SDR_32,0.307228916
Zhen_SDR_22,Zhen_SDR_33,0.386100386
Zhen_SDR_22,Zhen_SDR_34,0.214285714
Zhen_SDR_22,Zhen_SDR_35,0.287878788
Zhen_SDR_22,Zhen_SDR_36,0.297202797
Zhen_SDR_22,Zhen_SDR_37,0.303951368
Zhen_SDR_22,Zhen_SDR_38,0.124031008
Zhen_SDR_22,Zhen_SDR_39,0.306060606
Zhen_SDR_22,Zhen_SDR_40,0.253125
Zhen_SDR_22,Zhen_SDR_42,0.292358804
Zhen_SDR_22,Zhen_SDR_43,0.199376947
Zhen_SDR_22,Zhen_SDR_44,0.260726073
Zhen_SDR_22,Zhen_SDR_45,0.287066246
Zhen_SDR_22,Zhen_SDR_46,0.269360269
Zhen_SDR_22,Zhen_SDR_47,0.274691358
Zhen_SDR_22,Zhen_SDR_48,0.302180685
Zhen_SDR_22,Zhen_SDR_49,0.165697674
Zhen_SDR_22,Zhen_SDR_50,0.048672566
Zhen_SDR_22,Zhen_SDR_51,0.362637363
Zhen_SDR_22,Zhen_SDR_52,0.349264706
Zhen_SDR_22,Zhen_SDR_53,0.251633987
Zhen_SDR_22,Zhen_SDR_54,0.272151899
Zhen_SDR_22,Zhen_SDR_55,0.237341772
Zhen_SDR_22,Zhen_SDR_56,0.3125
Zhen_SDR_22,Zhen_SDR_57,0.239130435
Zhen_SDR_22,Zhen_SDR_58,0.24301676
Zhen_SDR_22,Zhen_SDR_59,0.288590604
Zhen_SDR_22,Zhen_SDR_60,0.174418605
Zhen_SDR_22,Zhen_SDR_61,0.337121212
Zhen_SDR_22,Zhen_SDR_62,0.318644068
Zhen_SDR_22,Zhen_SDR_63,0.092964824
Zhen_SDR_22,Zhen_SDR_64,0.295302013
Zhen_SDR_22,Zhen_SDR_65,0.262086514
Zhen_SDR_22,Zhen_SDR_66,0.2996633
Zhen_SDR_22,Zhen_SDR_67,0.298742138
Zhen_SDR_22,Zhen_SDR_68,0.300341297
Zhen_SDR_22,Zhen_SDR_69,0.291366906
Zhen_SDR_22,Zhen_SDR_71,0.341911765
Zhen_SDR_22,Zhen_SDR_72,0.237942122
Zhen_SDR_22,Zhen_SDR_73,0.351916376
Zhen_SDR_22,Zhen_SDR_74,0.295774648
Zhen_SDR_22,Zhen_SDR_75,0.25
Zhen_SDR_22,Zhen_SDR_76,0.320610687
Zhen_SDR_22,Zhen_SDR_77,0.350694444
Zhen_SDR_22,Zhen_SDR_78,0.306666667
Zhen_SDR_22,Zhen_SDR_79,0.255319149
Zhen_SDR_22,Zhen_SDR_80,0.247910864
Zhen_SDR_22,Zhen_SDR_81,0.285714286
Zhen_SDR_22,Zhen_SDR_82,0.246875
Zhen_SDR_22,Zhen_SDR_83,0.194202899
Zhen_SDR_22,Zhen_SDR_84,0.201591512
Zhen_SDR_22,Zhen_SDR_85,0.322916667
Zhen_SDR_22,Zhen_SDR_86,0.224615385
Zhen_SDR_22,Zhen_SDR_87,0.293729373
Zhen_SDR_22,Zhen_SDR_88,0.293548387
Zhen_SDR_22,Zhen_SDR_89,0.324324324
Zhen_SDR_22,Zhen_SDR_90,0.28975265
Zhen_SDR_22,Zhen_SDR_91,0.225396825
Zhen_SDR_22,Zhen_SDR_92,0.261455526
Zhen_SDR_22,Zhen_SDR_93,0.304487179
Zhen_SDR_15,Zhen_SDR_16,0.2225
Zhen_SDR_15,Zhen_SDR_17,0.202279202
Zhen_SDR_15,Zhen_SDR_18,0.210982659
Zhen_SDR_15,Zhen_SDR_19,0.290780142
Zhen_SDR_15,Zhen_SDR_20,0.219512195
Zhen_SDR_15,Zhen_SDR_21,0.297945205
Zhen_SDR_15,Zhen_SDR_22,0.304659498
Zhen_SDR_15,Zhen_SDR_23,0.376425856
Zhen_SDR_15,Zhen_SDR_24,0.172248804
Zhen_SDR_15,Zhen_SDR_25,0.258461538
Zhen_SDR_15,Zhen_SDR_26,0.247093023
Zhen_SDR_15,Zhen_SDR_27,0.237012987
Zhen_SDR_15,Zhen_SDR_28,0.222591362
Zhen_SDR_15,Zhen_SDR_29,0.285223368
Zhen_SDR_15,Zhen_SDR_30,0.293103448
Zhen_SDR_15,Zhen_SDR_31,0.244514107
Zhen_SDR_15,Zhen_SDR_32,0.247222222
Zhen_SDR_15,Zhen_SDR_33,0.327402135
Zhen_SDR_15,Zhen_SDR_34,0.158024691
Zhen_SDR_15,Zhen_SDR_35,0.240356083
Zhen_SDR_15,Zhen_SDR_36,0.276872964
Zhen_SDR_15,Zhen_SDR_37,0.255255255
Zhen_SDR_15,Zhen_SDR_38,0.260188088
Zhen_SDR_15,Zhen_SDR_39,0.220963173
Zhen_SDR_15,Zhen_SDR_40,0.253246753
Zhen_SDR_15,Zhen_SDR_42,0.209836066
Zhen_SDR_15,Zhen_SDR_43,0.203125
Zhen_SDR_15,Zhen_SDR_44,0.307116105
Zhen_SDR_15,Zhen_SDR_45,0.259146341
Zhen_SDR_15,Zhen_SDR_46,0.2
Zhen_SDR_15,Zhen_SDR_47,0.246334311
Zhen_SDR_15,Zhen_SDR_48,0.201101928
Zhen_SDR_15,Zhen_SDR_49,0.151162791
Zhen_SDR_15,Zhen_SDR_50,0.27124183
Zhen_SDR_15,Zhen_SDR_51,0.339160839
Zhen_SDR_15,Zhen_SDR_52,0.298245614
Zhen_SDR_15,Zhen_SDR_53,0.249180328
Zhen_SDR_15,Zhen_SDR_54,0.228739003
Zhen_SDR_15,Zhen_SDR_55,0.253472222
Zhen_SDR_15,Zhen_SDR_56,0.221498371
Zhen_SDR_15,Zhen_SDR_57,0.297577855
Zhen_SDR_15,Zhen_SDR_58,0.212435233
Zhen_SDR_15,Zhen_SDR_59,0.228013029
Zhen_SDR_15,Zhen_SDR_60,0.200626959
Zhen_SDR_15,Zhen_SDR_61,0.320945946
Zhen_SDR_15,Zhen_SDR_62,0.33559322
Zhen_SDR_15,Zhen_SDR_63,0.219047619
Zhen_SDR_15,Zhen_SDR_64,0.20625
Zhen_SDR_15,Zhen_SDR_65,0.148796499
Zhen_SDR_15,Zhen_SDR_66,0.018348624
Zhen_SDR_15,Zhen_SDR_67,0.239067055
Zhen_SDR_15,Zhen_SDR_68,0.265454545
Zhen_SDR_15,Zhen_SDR_69,0.274576271
Zhen_SDR_15,Zhen_SDR_71,0.370229008
Zhen_SDR_15,Zhen_SDR_72,0.284722222
Zhen_SDR_15,Zhen_SDR_73,0.244648318
Zhen_SDR_15,Zhen_SDR_74,0.25732899
Zhen_SDR_15,Zhen_SDR_75,0.309352518
Zhen_SDR_15,Zhen_SDR_76,0.310469314
Zhen_SDR_15,Zhen_SDR_77,0.217522659
Zhen_SDR_15,Zhen_SDR_78,0.219435737
Zhen_SDR_15,Zhen_SDR_79,0.219435737
Zhen_SDR_15,Zhen_SDR_80,0.057494867
Zhen_SDR_15,Zhen_SDR_81,0.280141844
Zhen_SDR_15,Zhen_SDR_82,0.249190939
Zhen_SDR_15,Zhen_SDR_83,0.216763006
Zhen_SDR_15,Zhen_SDR_84,0.279141104
Zhen_SDR_15,Zhen_SDR_85,0.275080906
Zhen_SDR_15,Zhen_SDR_86,0.338403042
Zhen_SDR_15,Zhen_SDR_87,0.245454545
Zhen_SDR_15,Zhen_SDR_88,0.229411765
Zhen_SDR_15,Zhen_SDR_89,0.250783699
Zhen_SDR_15,Zhen_SDR_90,0.214067278
Zhen_SDR_15,Zhen_SDR_91,0.056234719
Zhen_SDR_15,Zhen_SDR_92,0.150485437
Zhen_SDR_15,Zhen_SDR_93,0.216666667
Zhen_SDR_12,Zhen_SDR_13,0.334586466
Zhen_SDR_12,Zhen_SDR_14,0.234527687
Zhen_SDR_12,Zhen_SDR_15,0.231788079
Zhen_SDR_12,Zhen_SDR_16,0.254593176
Zhen_SDR_12,Zhen_SDR_17,0.257053292
Zhen_SDR_12,Zhen_SDR_18,0.24852071
Zhen_SDR_12,Zhen_SDR_19,0.327137546
Zhen_SDR_12,Zhen_SDR_20,0.27090301
Zhen_SDR_12,Zhen_SDR_21,0.277153558
Zhen_SDR_12,Zhen_SDR_22,0.260416667
Zhen_SDR_12,Zhen_SDR_23,0.268817204
Zhen_SDR_12,Zhen_SDR_24,0.271428571
Zhen_SDR_12,Zhen_SDR_25,0.280966767
Zhen_SDR_12,Zhen_SDR_26,0.126520681
Zhen_SDR_12,Zhen_SDR_27,0.282051282
Zhen_SDR_12,Zhen_SDR_28,0.282685512
Zhen_SDR_12,Zhen_SDR_29,0.312977099
Zhen_SDR_12,Zhen_SDR_30,0.194528875
Zhen_SDR_12,Zhen_SDR_31,0.204968944
Zhen_SDR_12,Zhen_SDR_32,0.195652174
Zhen_SDR_12,Zhen_SDR_33,0.312727273
Zhen_SDR_12,Zhen_SDR_34,0.106290672
Zhen_SDR_12,Zhen_SDR_35,0.355932203
Zhen_SDR_12,Zhen_SDR_36,0.25
Zhen_SDR_12,Zhen_SDR_37,0.292763158
Zhen_SDR_12,Zhen_SDR_38,0.251552795
Zhen_SDR_12,Zhen_SDR_39,0.319354839
Zhen_SDR_12,Zhen_SDR_40,0.3125
Zhen_SDR_12,Zhen_SDR_42,0.327402135
Zhen_SDR_12,Zhen_SDR_43,0.277966102
Zhen_SDR_12,Zhen_SDR_44,0.404580153
Zhen_SDR_12,Zhen_SDR_45,0.279220779
Zhen_SDR_12,Zhen_SDR_46,0.205211726
Zhen_SDR_12,Zhen_SDR_47,0.294117647
Zhen_SDR_12,Zhen_SDR_48,0.221590909
Zhen_SDR_12,Zhen_SDR_49,0.178461538
Zhen_SDR_12,Zhen_SDR_50,0.293333333
Zhen_SDR_12,Zhen_SDR_51,0.286713287
Zhen_SDR_12,Zhen_SDR_52,0.309859155
Zhen_SDR_12,Zhen_SDR_53,0.270175439
Zhen_SDR_12,Zhen_SDR_54,0.126315789
Zhen_SDR_12,Zhen_SDR_55,0.275261324
Zhen_SDR_12,Zhen_SDR_56,0.258899676
Zhen_SDR_12,Zhen_SDR_57,0.357664234
Zhen_SDR_12,Zhen_SDR_58,0.271186441
Zhen_SDR_12,Zhen_SDR_59,0.291525424
Zhen_SDR_12,Zhen_SDR_60,0.290780142
Zhen_SDR_12,Zhen_SDR_61,0.273049645
Zhen_SDR_12,Zhen_SDR_62,0.326241135
Zhen_SDR_12,Zhen_SDR_63,0.217241379
Zhen_SDR_12,Zhen_SDR_64,0.24137931
Zhen_SDR_12,Zhen_SDR_65,0.230769231
Zhen_SDR_12,Zhen_SDR_66,0.324723247
Zhen_SDR_12,Zhen_SDR_67,0.251552795
Zhen_SDR_12,Zhen_SDR_68,0.312080537
Zhen_SDR_12,Zhen_SDR_69,0.278810409
Zhen_SDR_12,Zhen_SDR_71,0.320754717
Zhen_SDR_12,Zhen_SDR_72,0.226415094
Zhen_SDR_12,Zhen_SDR_73,0.305084746
Zhen_SDR_12,Zhen_SDR_74,0.273381295
Zhen_SDR_12,Zhen_SDR_75,0.315412186
Zhen_SDR_12,Zhen_SDR_76,0.344569288
Zhen_SDR_12,Zhen_SDR_77,0.26625387
Zhen_SDR_12,Zhen_SDR_78,0.261290323
Zhen_SDR_12,Zhen_SDR_79,0.25
Zhen_SDR_12,Zhen_SDR_80,0.263586957
Zhen_SDR_12,Zhen_SDR_81,0.296577947
Zhen_SDR_12,Zhen_SDR_82,0.27852349
Zhen_SDR_12,Zhen_SDR_83,0.19941349
Zhen_SDR_12,Zhen_SDR_84,0.258258258
Zhen_SDR_12,Zhen_SDR_85,0.130555556
Zhen_SDR_12,Zhen_SDR_86,0.311355311
Zhen_SDR_12,Zhen_SDR_87,0.21875
Zhen_SDR_12,Zhen_SDR_88,0.258785942
