Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,taxonomic_lineage
P27874,reviewed,MAS11_RHIRH,Agropine synthesis reductase (EC 1.-.-.-),mas1,Rhizobium rhizogenes (Agrobacterium rhizogenes),430,Bacteria
P50201,reviewed,MAS12_RHIRH,Agropine synthesis reductase (EC 1.-.-.-),mas1,Rhizobium rhizogenes (Agrobacterium rhizogenes),430,Bacteria
O86034,reviewed,BDHA_RHIME,D-beta-hydroxybutyrate dehydrogenase (BDH) (EC 1.1.1.30) (3-hydroxybutyrate dehydrogenase) (3-HBDH),bdhA RB1136 SMb21010,Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti),258,Bacteria
P55434,reviewed,Y4EK_SINFN,Uncharacterized short-chain type dehydrogenase/reductase y4eK (EC 1.-.-.-),NGR_a03840 y4eK,Sinorhizobium fredii (strain NBRC 101917 / NGR234),248,Bacteria
P50204,reviewed,PHAB_PARDE,Acetoacetyl-CoA reductase (EC 1.1.1.36),phaB,Paracoccus denitrificans,242,Bacteria
P50199,reviewed,GNO_GLUOX,Gluconate 5-dehydrogenase (EC 1.1.1.-) (D-gluconate 5-dehydrogenase (NADP)) (Gluconate:NADP 5-oxidoreductase) (GNO),gno GOX2187,Gluconobacter oxydans (strain 621H) (Gluconobacter suboxydans),256,Bacteria
P17611,reviewed,NODG_AZOBR,Nodulation protein G,nodG,Azospirillum brasilense,246,Bacteria
Q01198,reviewed,LIGD_SPHSK,C alpha-dehydrogenase (EC 1.-.-.-),ligD,Sphingobium sp. (strain NBRC 103272 / SYK-6),305,Bacteria
Q9WXG7,reviewed,DPDD_ALCFA,"Cis-3,4-dihydrophenanthrene-3,4-diol dehydrogenase (EC 1.3.1.49) (Cis-phenanthrene dihydrodiol dehydrogenase) (PDD dehydrogenase)",phnB,Alcaligenes faecalis,277,Bacteria
P14697,reviewed,PHAB_CUPNH,Acetoacetyl-CoA reductase (EC 1.1.1.36),phaB phbB H16_A1439,Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha),246,Bacteria
Q9X6U2,reviewed,BDHA_CUPNH,D-beta-hydroxybutyrate dehydrogenase (BDH) (EC 1.1.1.30) (3-hydroxybutyrate dehydrogenase) (3-HBDH),hbdH1 H16_A1334,Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha),258,Bacteria
O69264,reviewed,TECB_CUPXP,Chlorobenzene dihydrodiol dehydrogenase (EC 1.3.1.119),tecB,Cupriavidus sp. (strain PS12),275,Bacteria
P47227,reviewed,BPHB_PARXL,"Cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase (EC 1.3.1.56) (2,3-dihydro-2,3-dihydroxybiphenyl dehydrogenase) (2,3-dihydroxy-4-phenylhexa-4,6-diene dehydrogenase) (Biphenyl-2,3-dihydro-2,3-diol dehydrogenase) (Biphenyl-cis-diol dehydrogenase)",bphB Bxeno_C1126 Bxe_C1192,Paraburkholderia xenovorans (strain LB400),277,Bacteria
O52384,reviewed,NAGB_RALSP,"1,2-dihydroxy-1,2-dihydronaphthalene dehydrogenase (EC 1.3.1.29) (Cis-naphthalene dihydrodiol dehydrogenase)",nagB,Ralstonia sp,259,Bacteria
P80702,reviewed,DIDH_COMTE,3-alpha-hydroxysteroid dehydrogenase/carbonyl reductase (3-alpha-HSD) (EC 1.1.1.50) (3-alpha-hydroxysteroid dehydrogenase/3-oxosteroid reductase) (HSD28) (Hydroxyprostaglandin dehydrogenase),hsdA,Comamonas testosteroni (Pseudomonas testosteroni),257,Bacteria
Q46381,reviewed,BPHB_COMTE,"Cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase (EC 1.3.1.56) (2,3-dihydro-2,3-dihydroxybiphenyl dehydrogenase) (2,3-dihydroxy-4-phenylhexa-4,6-diene dehydrogenase) (B2,3D) (Biphenyl-2,3-dihydro-2,3-diol dehydrogenase) (Biphenyl-cis-diol dehydrogenase)",bphB,Comamonas testosteroni (Pseudomonas testosteroni),281,Bacteria
P39884,reviewed,YDFG_DICNO,Probable NADP-dependent dehydrogenase in aabA 3'region (EC 1.1.1.-) (ORFB),,Dichelobacter nodosus (Bacteroides nodosus),106,Bacteria
P45375,reviewed,PHAB_ALLVD,Acetoacetyl-CoA reductase (EC 1.1.1.36),phaB phbB Alvin_0066,Allochromatium vinosum (strain ATCC 17899 / DSM 180 / NBRC 103801 / NCIMB 10441 / D) (Chromatium vinosum),246,Bacteria
P0CI32,reviewed,HCAB_ECOLX,"3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase)",hcaB,Escherichia coli,270,Bacteria
P37769,reviewed,KDUD_ECOLI,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase (EC 1.1.1.127) (2-deoxy-D-gluconate 3-dehydrogenase) (2-keto-3-deoxygluconate 5-dehydrogenase) (2-keto-3-deoxygluconate oxidoreductase) (KDG oxidoreductase) (20-ketosteroid reductase) (EC 1.1.1.-),kduD ygeC yqeD b2842 JW2810,Escherichia coli (strain K12),253,Bacteria
P39831,reviewed,YDFG_ECOLI,NADP-dependent 3-hydroxy acid dehydrogenase YdfG (L-allo-threonine dehydrogenase) (EC 1.1.1.381) (Malonic semialdehyde reductase) (EC 1.1.1.298),ydfG b1539 JW1532,Escherichia coli (strain K12),248,Bacteria
P05707,reviewed,SRLD_ECOLI,Sorbitol-6-phosphate 2-dehydrogenase (EC 1.1.1.140) (Glucitol-6-phosphate dehydrogenase) (Ketosephosphate reductase),srlD gutD b2705 JW2674,Escherichia coli (strain K12),259,Bacteria
P0A9P9,reviewed,IDNO_ECOLI,5-keto-D-gluconate 5-reductase (EC 1.1.1.69),idnO yjgU b4266 JW4223,Escherichia coli (strain K12),254,Bacteria
P0CI31,reviewed,HCAB_ECOLI,"3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase)",hcaB phdD yfhX b2541 JW2525,Escherichia coli (strain K12),270,Bacteria
A8A347,reviewed,HCAB_ECOHS,"3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase)",hcaB EcHS_A2693,Escherichia coli O9:H4 (strain HS),270,Bacteria
B1IVT6,reviewed,HCAB_ECOLC,"3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase)",hcaB EcolC_1136,Escherichia coli (strain ATCC 8739 / DSM 1576 / NBRC 3972 / NCIMB 8545 / WDCM 00012 / Crooks),270,Bacteria
B1LNJ7,reviewed,HCAB_ECOSM,"3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase)",hcaB EcSMS35_2694,Escherichia coli (strain SMS-3-5 / SECEC),270,Bacteria
B6I5B4,reviewed,HCAB_ECOSE,"3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase)",hcaB ECSE_2828,Escherichia coli (strain SE11),270,Bacteria
B7LDD3,reviewed,HCAB_ECO55,"3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase)",hcaB EC55989_2827,Escherichia coli (strain 55989 / EAEC),270,Bacteria
B7M7P4,reviewed,HCAB_ECO8A,"3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase)",hcaB ECIAI1_2593,Escherichia coli O8 (strain IAI1),270,Bacteria
B7N6C8,reviewed,HCAB_ECOLU,"3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase)",hcaB ECUMN_2861,Escherichia coli O17:K52:H18 (strain UMN026 / ExPEC),270,Bacteria
B7NRJ0,reviewed,HCAB_ECO7I,"3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase)",hcaB ECIAI39_2742,Escherichia coli O7:K1 (strain IAI39 / ExPEC),270,Bacteria
Q8FHD2,reviewed,YDFG_ECOL6,NADP-dependent 3-hydroxy acid dehydrogenase YdfG (L-allo-threonine dehydrogenase) (EC 1.1.1.381) (Malonic semialdehyde reductase) (EC 1.1.1.298),ydfG c1965,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),248,Bacteria
Q8X505,reviewed,YDFG_ECO57,NADP-dependent 3-hydroxy acid dehydrogenase YdfG (L-allo-threonine dehydrogenase) (EC 1.1.1.381) (Malonic semialdehyde reductase) (EC 1.1.1.298),ydfG Z2158 ECs2148,Escherichia coli O157:H7,248,Bacteria
Q8XA72,reviewed,HCAB_ECO57,"3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase)",hcaB Z3813 ECs3407,Escherichia coli O157:H7,270,Bacteria
P0A9Q0,reviewed,IDNO_ECOL6,5-keto-D-gluconate 5-reductase (EC 1.1.1.69),idnO c5367,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),254,Bacteria
P0AFP4,reviewed,YBBO_ECOLI,Uncharacterized oxidoreductase YbbO (EC 1.-.-.-),ybbO b0493 JW0482,Escherichia coli (strain K12),269,Bacteria
P0AFP5,reviewed,YBBO_ECOL6,Uncharacterized oxidoreductase YbbO (EC 1.-.-.-),ybbO c0614,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),269,Bacteria
P31808,reviewed,YCIK_ECOLI,Uncharacterized oxidoreductase YciK (EC 1.-.-.-),yciK b1271 JW1263,Escherichia coli (strain K12),252,Bacteria
B1XB16,reviewed,HCAB_ECODH,"3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase)",hcaB ECDH10B_2708,Escherichia coli (strain K12 / DH10B),270,Bacteria
C4ZXB6,reviewed,HCAB_ECOBW,"3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase)",hcaB BWG_2305,Escherichia coli (strain K12 / MC4100 / BW2952),270,Bacteria
A7ZPY4,reviewed,HCAB_ECO24,"3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase)",hcaB EcE24377A_2826,Escherichia coli O139:H28 (strain E24377A / ETEC),270,Bacteria
B5Z114,reviewed,HCAB_ECO5E,"3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase)",hcaB ECH74115_3773,Escherichia coli O157:H7 (strain EC4115 / EHEC),270,Bacteria
Q48436,reviewed,BUDC_KLEPN,"Diacetyl reductase [(S)-acetoin forming] (EC 1.1.1.304) (Acetoin(diacetyl) reductase) (AR) (Meso-2,3-butanediol dehydrogenase)",budC,Klebsiella pneumoniae,256,Bacteria
D3U1D9,reviewed,ISFD_KLEOX,Sulfoacetaldehyde reductase (EC 1.1.1.313) (Isethionate formation reductase),isfD,Klebsiella oxytoca,254,Bacteria
P00335,reviewed,RIDH_KLEAE,Ribitol 2-dehydrogenase (RDH) (EC 1.1.1.56),rbtD,Klebsiella aerogenes (Enterobacter aerogenes),249,Bacteria
P37079,reviewed,SORD_KLEPN,Sorbitol-6-phosphate 2-dehydrogenase (EC 1.1.1.140) (Glucitol-6-phosphate dehydrogenase) (Ketosephosphate reductase),sorD,Klebsiella pneumoniae,267,Bacteria
Q04520,reviewed,BUDC_RAOTE,"Diacetyl reductase [(S)-acetoin forming] (EC 1.1.1.304) (Acetoin(diacetyl) reductase) (AR) (Meso-2,3-butanediol dehydrogenase)",budC,Raoultella terrigena (Klebsiella terrigena),241,Bacteria
P69935,reviewed,YDFG_SALTI,NADP-dependent 3-hydroxy acid dehydrogenase YdfG (L-allo-threonine dehydrogenase) (EC 1.1.1.381) (Malonic semialdehyde reductase) (EC 1.1.1.298),ydfG STY1550 t1432,Salmonella typhi,248,Bacteria
P69936,reviewed,YDFG_SALTY,NADP-dependent 3-hydroxy acid dehydrogenase YdfG (L-allo-threonine dehydrogenase) (EC 1.1.1.381) (Malonic semialdehyde reductase) (EC 1.1.1.298),ydfG STM1511,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),248,Bacteria
Q83QJ8,reviewed,HCAB_SHIFL,"3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase)",hcaB SF2588 S2760,Shigella flexneri,270,Bacteria
Q83RE8,reviewed,YDFG_SHIFL,NADP-dependent 3-hydroxy acid dehydrogenase YdfG (L-allo-threonine dehydrogenase) (EC 1.1.1.381) (Malonic semialdehyde reductase) (EC 1.1.1.298),ydfG SF1556 S1681,Shigella flexneri,248,Bacteria
Q31XU9,reviewed,HCAB_SHIBS,"3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase)",hcaB SBO_2565,Shigella boydii serotype 4 (strain Sb227),270,Bacteria
Q0T1X8,reviewed,HCAB_SHIF8,"3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase)",hcaB SFV_2589,Shigella flexneri serotype 5b (strain 8401),270,Bacteria
Q3YZ12,reviewed,HCAB_SHISS,"3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase)",hcaB SSON_2623,Shigella sonnei (strain Ss046),270,Bacteria
Q7N4V7,reviewed,HCAB_PHOLL,"3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase)",hcaB plu2207,Photorhabdus laumondii subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01) (Photorhabdus luminescens subsp. laumondii),280,Bacteria
Q05528,reviewed,KDUD_DICD3,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase (EC 1.1.1.127) (2-keto-3-deoxygluconate 5-dehydrogenase) (2-keto-3-deoxygluconate oxidoreductase) (KDG oxidoreductase),kduD Dda3937_04595,Dickeya dadantii (strain 3937) (Erwinia chrysanthemi (strain 3937)),253,Bacteria
P07772,reviewed,BEND_ACIAD,"1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase (EC 1.3.1.25) (2-hydro-1,2-dihydroxybenzoate dehydrogenase) (DHB dehydrogenase) (Cis-1,2-dihydroxy-3,4-cyclohexadiene-1-carboxylate dehydrogenase) (Cis-1,2-dihydroxycyclohexa-3,5-diene-1-carboxylate dehydrogenase)",benD ACIAD1439,Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),261,Bacteria
Q6F7B8,reviewed,ACR1_ACIAD,Fatty acyl-CoA reductase (EC 1.2.1.n2),acr1 ACIAD3383,Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),295,Bacteria
P50203,reviewed,PHAB_ACISR,Acetoacetyl-CoA reductase (EC 1.1.1.36),phaB,Acinetobacter sp. (strain RA3849),248,Bacteria
Q1R183,reviewed,ISFD_CHRSD,Sulfoacetaldehyde reductase (EC 1.1.1.313) (Isethionate formation reductase),isfD Csal_0161,Chromohalobacter salexigens (strain ATCC BAA-138 / DSM 3043 / CIP 106854 / NCIMB 13768 / 1H11),253,Bacteria
Q1QU27,reviewed,ISFD2_CHRSD,Sulfoacetaldehyde reductase 2 (EC 1.1.1.313) (Isethionate formation reductase 2),isfD2 Csal_2684,Chromohalobacter salexigens (strain ATCC BAA-138 / DSM 3043 / CIP 106854 / NCIMB 13768 / 1H11),252,Bacteria
P70720,reviewed,FABG_AGGAC,3-oxoacyl-[acyl-carrier-protein] reductase FabG (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein reductase) (Beta-Ketoacyl-acyl carrier protein reductase) (Beta-ketoacyl-ACP reductase),fabG,Aggregatibacter actinomycetemcomitans (Actinobacillus actinomycetemcomitans) (Haemophilus actinomycetemcomitans),242,Bacteria
P44481,reviewed,Y048_HAEIN,Uncharacterized oxidoreductase HI_0048 (EC 1.-.-.-),HI_0048,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),285,Bacteria
P45200,reviewed,Y1430_HAEIN,Probable NADP-dependent dehydrogenase HI_1430 (EC 1.1.1.-),HI_1430,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),252,Bacteria
P08694,reviewed,BPHB_PSEFK,"Cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase (EC 1.3.1.56) (2,3-dihydro-2,3-dihydroxybiphenyl dehydrogenase) (2,3-dihydroxy-4-phenylhexa-4,6-diene dehydrogenase) (Biphenyl-2,3-dihydro-2,3-diol dehydrogenase) (Biphenyl-cis-diol dehydrogenase)",bphB,Pseudomonas furukawaii,275,Bacteria
