SDR1,SDR2,subset_tm
Zhen_SDR_44,Zhen_SDR_12,0.81275
Zhen_SDR_44,Zhen_SDR_40,0.81157
Zhen_SDR_44,Zhen_SDR_3,0.71607
Zhen_SDR_44,Zhen_SDR_15,0.67871
Zhen_SDR_44,Zhen_SDR_43,0.60938
Zhen_SDR_44,Zhen_SDR_53,0.69795
Zhen_SDR_44,Zhen_SDR_14,0.70439
Zhen_SDR_44,Zhen_SDR_58,0.66093
Zhen_SDR_44,Zhen_SDR_28,0.68248
Zhen_SDR_44,Zhen_SDR_38,0.73494
Zhen_SDR_44,Zhen_SDR_87,0.71469
Zhen_SDR_44,Zhen_SDR_27,0.55385
Zhen_SDR_44,Zhen_SDR_50,0.76456
Zhen_SDR_44,Zhen_SDR_13,0.72079
Zhen_SDR_44,Zhen_SDR_92,0.60542
Zhen_SDR_44,Zhen_SDR_57,0.7246
Zhen_SDR_44,Zhen_SDR_79,0.6909
Zhen_SDR_44,Zhen_SDR_66,0.74946
Zhen_SDR_44,Zhen_SDR_16,0.70673
Zhen_SDR_44,Zhen_SDR_37,0.77119
Zhen_SDR_44,Zhen_SDR_91,0.65679
Zhen_SDR_44,Zhen_SDR_55,0.72487
Zhen_SDR_44,Zhen_SDR_22,0.72182
Zhen_SDR_44,Zhen_SDR_89,0.56995
Zhen_SDR_44,Zhen_SDR_47,0.66049
Zhen_SDR_44,Zhen_SDR_82,0.6628
Zhen_SDR_44,Zhen_SDR_69,0.6979
Zhen_SDR_44,Zhen_SDR_19,0.71169
Zhen_SDR_44,Zhen_SDR_78,0.72319
Zhen_SDR_44,Zhen_SDR_18,0.72684
Zhen_SDR_44,Zhen_SDR_4,0.76197
Zhen_SDR_44,Zhen_SDR_68,0.71533
Zhen_SDR_44,Zhen_SDR_1,0.83996
Zhen_SDR_44,Zhen_SDR_86,0.69235
Zhen_SDR_44,Zhen_SDR_23,0.56493
Zhen_SDR_44,Zhen_SDR_72,0.67326
Zhen_SDR_44,Zhen_SDR_33,0.70895
Zhen_SDR_44,Zhen_SDR_2,0.7907
Zhen_SDR_44,Zhen_SDR_46,0.68433
Zhen_SDR_44,Zhen_SDR_63,0.62322
Zhen_SDR_44,Zhen_SDR_61,0.68138
Zhen_SDR_44,Zhen_SDR_83,0.65571
Zhen_SDR_44,Zhen_SDR_81,0.72289
Zhen_SDR_44,Zhen_SDR_88,0.70607
Zhen_SDR_44,Zhen_SDR_90,0.6862
Zhen_SDR_44,Zhen_SDR_32,0.72481
Zhen_SDR_44,Zhen_SDR_60,0.70615
Zhen_SDR_44,Zhen_SDR_17,0.70199
Zhen_SDR_44,Zhen_SDR_6,0.81666
Zhen_SDR_44,Zhen_SDR_35,0.79598
Zhen_SDR_44,Zhen_SDR_25,0.66995
Zhen_SDR_44,Zhen_SDR_56,0.7505
Zhen_SDR_44,Zhen_SDR_8,0.73382
Zhen_SDR_44,Zhen_SDR_52,0.74017
Zhen_SDR_44,Zhen_SDR_34,0.61428
Zhen_SDR_44,Zhen_SDR_59,0.71303
Zhen_SDR_44,Zhen_SDR_64,0.64711
Zhen_SDR_44,Zhen_SDR_26,0.71581
Zhen_SDR_44,Zhen_SDR_30,0.70597
Zhen_SDR_44,Zhen_SDR_10,0.68857
Zhen_SDR_44,Zhen_SDR_51,0.71427
Zhen_SDR_44,Zhen_SDR_29,0.69757
Zhen_SDR_44,Zhen_SDR_45,0.7203
Zhen_SDR_44,Zhen_SDR_71,0.74269
Zhen_SDR_44,Zhen_SDR_85,0.68518
Zhen_SDR_44,Zhen_SDR_74,0.63261
Zhen_SDR_44,Zhen_SDR_62,0.74229
Zhen_SDR_44,Zhen_SDR_49,0.48439
Zhen_SDR_73,Zhen_SDR_9,0.59625
Zhen_SDR_44,Zhen_SDR_80,0.64963
Zhen_SDR_73,Zhen_SDR_7,0.58289
Zhen_SDR_44,Zhen_SDR_65,0.67521
Zhen_SDR_73,Zhen_SDR_76,0.71234
Zhen_SDR_44,Zhen_SDR_84,0.67896
Zhen_SDR_73,Zhen_SDR_20,0.70183
Zhen_SDR_73,Zhen_SDR_21,0.62461
Zhen_SDR_73,Zhen_SDR_77,0.82792
Zhen_SDR_73,Zhen_SDR_36,0.76054
Zhen_SDR_73,Zhen_SDR_5,0.62184
Zhen_SDR_73,Zhen_SDR_11,0.56433
Zhen_SDR_73,Zhen_SDR_48,0.79113
Zhen_SDR_73,Zhen_SDR_43,0.66363
Zhen_SDR_73,Zhen_SDR_22,0.76239
Zhen_SDR_73,Zhen_SDR_67,0.85682
Zhen_SDR_73,Zhen_SDR_75,0.57325
Zhen_SDR_73,Zhen_SDR_12,0.61061
Zhen_SDR_73,Zhen_SDR_42,0.76112
Zhen_SDR_73,Zhen_SDR_54,0.81859
Zhen_SDR_73,Zhen_SDR_15,0.61004
Zhen_SDR_73,Zhen_SDR_24,0.76594
Zhen_SDR_73,Zhen_SDR_3,0.78926
Zhen_SDR_73,Zhen_SDR_40,0.79955
Zhen_SDR_73,Zhen_SDR_38,0.77094
Zhen_SDR_73,Zhen_SDR_53,0.79061
Zhen_SDR_73,Zhen_SDR_39,0.7861
Zhen_SDR_73,Zhen_SDR_58,0.75467
Zhen_SDR_73,Zhen_SDR_14,0.85462
Zhen_SDR_73,Zhen_SDR_87,0.91733
Zhen_SDR_73,Zhen_SDR_28,0.76283
Zhen_SDR_73,Zhen_SDR_57,0.60574
Zhen_SDR_73,Zhen_SDR_50,0.77967
Zhen_SDR_73,Zhen_SDR_31,0.50855
Zhen_SDR_73,Zhen_SDR_13,0.75197
Zhen_SDR_73,Zhen_SDR_27,0.67203
Zhen_SDR_73,Zhen_SDR_91,0.62027
Zhen_SDR_73,Zhen_SDR_66,0.64118
Zhen_SDR_73,Zhen_SDR_16,0.82906
Zhen_SDR_73,Zhen_SDR_55,0.72921
Zhen_SDR_73,Zhen_SDR_37,0.77641
Zhen_SDR_73,Zhen_SDR_89,0.54015
Zhen_SDR_73,Zhen_SDR_79,0.79992
Zhen_SDR_73,Zhen_SDR_47,0.78278
Zhen_SDR_73,Zhen_SDR_69,0.65762
Zhen_SDR_73,Zhen_SDR_82,0.75957
Zhen_SDR_73,Zhen_SDR_78,0.78501
Zhen_SDR_73,Zhen_SDR_86,0.60564
Zhen_SDR_73,Zhen_SDR_92,0.69626
Zhen_SDR_73,Zhen_SDR_68,0.57493
Zhen_SDR_73,Zhen_SDR_33,0.76777
Zhen_SDR_73,Zhen_SDR_1,0.81435
Zhen_SDR_73,Zhen_SDR_72,0.64069
Zhen_SDR_73,Zhen_SDR_18,0.75037
Zhen_SDR_73,Zhen_SDR_4,0.71589
Zhen_SDR_73,Zhen_SDR_2,0.80222
Zhen_SDR_73,Zhen_SDR_23,0.48972
Zhen_SDR_73,Zhen_SDR_46,0.82227
Zhen_SDR_73,Zhen_SDR_19,0.67842
Zhen_SDR_73,Zhen_SDR_61,0.75272
Zhen_SDR_73,Zhen_SDR_63,0.72863
Zhen_SDR_73,Zhen_SDR_81,0.71191
Zhen_SDR_73,Zhen_SDR_88,0.92234
Zhen_SDR_73,Zhen_SDR_83,0.74848
Zhen_SDR_73,Zhen_SDR_90,0.69828
Zhen_SDR_73,Zhen_SDR_32,0.92407
Zhen_SDR_73,Zhen_SDR_6,0.60784
Zhen_SDR_73,Zhen_SDR_34,0.70931
Zhen_SDR_73,Zhen_SDR_60,0.72853
Zhen_SDR_73,Zhen_SDR_52,0.68454
Zhen_SDR_73,Zhen_SDR_56,0.76649
Zhen_SDR_73,Zhen_SDR_62,0.68188
Zhen_SDR_73,Zhen_SDR_8,0.71948
Zhen_SDR_73,Zhen_SDR_17,0.80027
Zhen_SDR_73,Zhen_SDR_30,0.65635
Zhen_SDR_73,Zhen_SDR_35,0.78836
Zhen_SDR_73,Zhen_SDR_25,0.76878
Zhen_SDR_73,Zhen_SDR_29,0.73244
Zhen_SDR_73,Zhen_SDR_71,0.65561
Zhen_SDR_73,Zhen_SDR_59,0.73949
Zhen_SDR_73,Zhen_SDR_64,0.76254
Zhen_SDR_73,Zhen_SDR_51,0.74565
Zhen_SDR_73,Zhen_SDR_45,0.82929
Zhen_SDR_73,Zhen_SDR_26,0.83428
Zhen_SDR_73,Zhen_SDR_74,0.71462
Zhen_SDR_73,Zhen_SDR_85,0.59973
Zhen_SDR_73,Zhen_SDR_10,0.64412
Zhen_SDR_73,Zhen_SDR_49,0.61734
Zhen_SDR_9,Zhen_SDR_76,0.6722
Zhen_SDR_9,Zhen_SDR_7,0.69488
Zhen_SDR_9,Zhen_SDR_36,0.63395
Zhen_SDR_9,Zhen_SDR_39,0.81571
Zhen_SDR_9,Zhen_SDR_21,0.6334
Zhen_SDR_9,Zhen_SDR_20,0.69815
Zhen_SDR_73,Zhen_SDR_80,0.74941
Zhen_SDR_9,Zhen_SDR_75,0.68542
Zhen_SDR_9,Zhen_SDR_48,0.6465
Zhen_SDR_9,Zhen_SDR_43,0.58675
Zhen_SDR_9,Zhen_SDR_11,0.55652
Zhen_SDR_9,Zhen_SDR_77,0.67729
Zhen_SDR_73,Zhen_SDR_84,0.74178
Zhen_SDR_9,Zhen_SDR_31,0.47912
Zhen_SDR_9,Zhen_SDR_67,0.70601
Zhen_SDR_9,Zhen_SDR_5,0.81308
Zhen_SDR_73,Zhen_SDR_65,0.78067
Zhen_SDR_9,Zhen_SDR_54,0.69347
Zhen_SDR_9,Zhen_SDR_42,0.66487
Zhen_SDR_9,Zhen_SDR_22,0.68944
Zhen_SDR_9,Zhen_SDR_40,0.72394
Zhen_SDR_9,Zhen_SDR_3,0.698
Zhen_SDR_9,Zhen_SDR_12,0.73327
Zhen_SDR_9,Zhen_SDR_53,0.69665
Zhen_SDR_9,Zhen_SDR_38,0.65723
Zhen_SDR_9,Zhen_SDR_92,0.6007
Zhen_SDR_9,Zhen_SDR_14,0.68759
Zhen_SDR_9,Zhen_SDR_87,0.70223
Zhen_SDR_9,Zhen_SDR_58,0.65234
Zhen_SDR_9,Zhen_SDR_28,0.65837
Zhen_SDR_9,Zhen_SDR_50,0.67738
Zhen_SDR_9,Zhen_SDR_27,0.51138
Zhen_SDR_9,Zhen_SDR_13,0.70247
Zhen_SDR_9,Zhen_SDR_24,0.6529
Zhen_SDR_9,Zhen_SDR_79,0.6778
Zhen_SDR_9,Zhen_SDR_16,0.70137
Zhen_SDR_9,Zhen_SDR_55,0.69256
Zhen_SDR_9,Zhen_SDR_66,0.6723
Zhen_SDR_9,Zhen_SDR_57,0.7628
Zhen_SDR_9,Zhen_SDR_37,0.68714
Zhen_SDR_9,Zhen_SDR_15,0.68483
Zhen_SDR_9,Zhen_SDR_91,0.64426
Zhen_SDR_9,Zhen_SDR_69,0.67404
Zhen_SDR_9,Zhen_SDR_82,0.65172
Zhen_SDR_9,Zhen_SDR_47,0.66146
Zhen_SDR_9,Zhen_SDR_89,0.59538
Zhen_SDR_9,Zhen_SDR_18,0.66324
Zhen_SDR_9,Zhen_SDR_78,0.68539
Zhen_SDR_9,Zhen_SDR_19,0.7014
Zhen_SDR_9,Zhen_SDR_68,0.66711
Zhen_SDR_9,Zhen_SDR_1,0.75725
Zhen_SDR_9,Zhen_SDR_33,0.68938
Zhen_SDR_9,Zhen_SDR_4,0.73476
Zhen_SDR_9,Zhen_SDR_86,0.74879
Zhen_SDR_9,Zhen_SDR_23,0.58978
Zhen_SDR_9,Zhen_SDR_2,0.69617
Zhen_SDR_9,Zhen_SDR_46,0.67109
Zhen_SDR_9,Zhen_SDR_72,0.6556
Zhen_SDR_9,Zhen_SDR_81,0.71193
Zhen_SDR_9,Zhen_SDR_63,0.6106
Zhen_SDR_9,Zhen_SDR_88,0.70062
Zhen_SDR_9,Zhen_SDR_61,0.6733
Zhen_SDR_9,Zhen_SDR_34,0.60983
Zhen_SDR_9,Zhen_SDR_90,0.64418
Zhen_SDR_9,Zhen_SDR_32,0.69523
Zhen_SDR_9,Zhen_SDR_60,0.6552
Zhen_SDR_9,Zhen_SDR_17,0.68677
Zhen_SDR_9,Zhen_SDR_56,0.67555
Zhen_SDR_9,Zhen_SDR_83,0.63069
Zhen_SDR_9,Zhen_SDR_6,0.74824
Zhen_SDR_9,Zhen_SDR_25,0.66122
Zhen_SDR_9,Zhen_SDR_35,0.69226
Zhen_SDR_9,Zhen_SDR_8,0.69889
Zhen_SDR_9,Zhen_SDR_30,0.67077
Zhen_SDR_9,Zhen_SDR_64,0.6407
Zhen_SDR_9,Zhen_SDR_62,0.69563
Zhen_SDR_9,Zhen_SDR_65,0.67099
Zhen_SDR_9,Zhen_SDR_52,0.71559
Zhen_SDR_9,Zhen_SDR_59,0.69738
Zhen_SDR_9,Zhen_SDR_26,0.6715
Zhen_SDR_9,Zhen_SDR_51,0.69898
Zhen_SDR_9,Zhen_SDR_29,0.6842
Zhen_SDR_9,Zhen_SDR_71,0.71784
Zhen_SDR_9,Zhen_SDR_45,0.68513
Zhen_SDR_9,Zhen_SDR_10,0.69331
Zhen_SDR_9,Zhen_SDR_74,0.61442
Zhen_SDR_9,Zhen_SDR_49,0.4571
Zhen_SDR_9,Zhen_SDR_85,0.68229
Zhen_SDR_76,Zhen_SDR_7,0.64911
Zhen_SDR_76,Zhen_SDR_39,0.75382
Zhen_SDR_76,Zhen_SDR_20,0.73911
Zhen_SDR_76,Zhen_SDR_36,0.71818
Zhen_SDR_9,Zhen_SDR_84,0.67187
Zhen_SDR_76,Zhen_SDR_75,0.64669
Zhen_SDR_76,Zhen_SDR_21,0.70534
Zhen_SDR_76,Zhen_SDR_43,0.63193
Zhen_SDR_76,Zhen_SDR_5,0.67817
Zhen_SDR_76,Zhen_SDR_67,0.82259
Zhen_SDR_76,Zhen_SDR_77,0.76125
Zhen_SDR_76,Zhen_SDR_48,0.71759
Zhen_SDR_76,Zhen_SDR_42,0.70714
Zhen_SDR_76,Zhen_SDR_54,0.73905
Zhen_SDR_76,Zhen_SDR_24,0.75644
Zhen_SDR_76,Zhen_SDR_11,0.57853
Zhen_SDR_76,Zhen_SDR_40,0.75345
Zhen_SDR_76,Zhen_SDR_3,0.75013
Zhen_SDR_76,Zhen_SDR_22,0.78337
Zhen_SDR_76,Zhen_SDR_12,0.68285
Zhen_SDR_76,Zhen_SDR_58,0.68971
Zhen_SDR_76,Zhen_SDR_92,0.6841
Zhen_SDR_76,Zhen_SDR_31,0.54749
Zhen_SDR_76,Zhen_SDR_53,0.77442
Zhen_SDR_76,Zhen_SDR_15,0.7306
Zhen_SDR_9,Zhen_SDR_80,0.63705
Zhen_SDR_76,Zhen_SDR_38,0.7665
Zhen_SDR_76,Zhen_SDR_14,0.8069
Zhen_SDR_76,Zhen_SDR_28,0.7238
Zhen_SDR_76,Zhen_SDR_87,0.79005
Zhen_SDR_76,Zhen_SDR_27,0.61669
Zhen_SDR_76,Zhen_SDR_57,0.67139
Zhen_SDR_76,Zhen_SDR_13,0.77568
Zhen_SDR_76,Zhen_SDR_50,0.75976
Zhen_SDR_76,Zhen_SDR_91,0.61962
Zhen_SDR_76,Zhen_SDR_79,0.75962
Zhen_SDR_76,Zhen_SDR_37,0.77109
Zhen_SDR_76,Zhen_SDR_55,0.71994
Zhen_SDR_76,Zhen_SDR_47,0.72197
Zhen_SDR_76,Zhen_SDR_82,0.71111
Zhen_SDR_76,Zhen_SDR_89,0.58464
Zhen_SDR_76,Zhen_SDR_19,0.74484
Zhen_SDR_76,Zhen_SDR_69,0.67094
Zhen_SDR_76,Zhen_SDR_4,0.72402
Zhen_SDR_76,Zhen_SDR_78,0.75778
Zhen_SDR_76,Zhen_SDR_86,0.68582
Zhen_SDR_76,Zhen_SDR_72,0.62838
Zhen_SDR_76,Zhen_SDR_1,0.76403
Zhen_SDR_76,Zhen_SDR_46,0.74481
Zhen_SDR_76,Zhen_SDR_33,0.75393
Zhen_SDR_76,Zhen_SDR_2,0.75494
Zhen_SDR_76,Zhen_SDR_88,0.78874
Zhen_SDR_76,Zhen_SDR_66,0.67183
Zhen_SDR_76,Zhen_SDR_83,0.73501
Zhen_SDR_76,Zhen_SDR_61,0.74722
Zhen_SDR_76,Zhen_SDR_63,0.65384
Zhen_SDR_76,Zhen_SDR_18,0.74235
Zhen_SDR_76,Zhen_SDR_16,0.77988
Zhen_SDR_76,Zhen_SDR_34,0.68924
Zhen_SDR_76,Zhen_SDR_23,0.55582
Zhen_SDR_76,Zhen_SDR_90,0.72582
Zhen_SDR_76,Zhen_SDR_68,0.66087
Zhen_SDR_76,Zhen_SDR_32,0.79743
Zhen_SDR_76,Zhen_SDR_6,0.66495
Zhen_SDR_76,Zhen_SDR_17,0.77271
Zhen_SDR_76,Zhen_SDR_65,0.70913
Zhen_SDR_76,Zhen_SDR_60,0.73227
Zhen_SDR_76,Zhen_SDR_25,0.72576
Zhen_SDR_76,Zhen_SDR_56,0.74293
Zhen_SDR_76,Zhen_SDR_52,0.76016
Zhen_SDR_76,Zhen_SDR_81,0.74132
Zhen_SDR_76,Zhen_SDR_35,0.76065
Zhen_SDR_76,Zhen_SDR_8,0.76619
Zhen_SDR_76,Zhen_SDR_62,0.70367
Zhen_SDR_76,Zhen_SDR_59,0.72455
Zhen_SDR_76,Zhen_SDR_30,0.75655
Zhen_SDR_76,Zhen_SDR_64,0.72591
Zhen_SDR_76,Zhen_SDR_71,0.72631
Zhen_SDR_76,Zhen_SDR_29,0.75004
Zhen_SDR_76,Zhen_SDR_45,0.80257
Zhen_SDR_76,Zhen_SDR_10,0.69531
Zhen_SDR_76,Zhen_SDR_26,0.78274
Zhen_SDR_76,Zhen_SDR_51,0.78494
Zhen_SDR_76,Zhen_SDR_74,0.68811
Zhen_SDR_76,Zhen_SDR_49,0.52464
Zhen_SDR_39,Zhen_SDR_7,0.51281
Zhen_SDR_76,Zhen_SDR_80,0.67752
Zhen_SDR_39,Zhen_SDR_20,0.63063
Zhen_SDR_76,Zhen_SDR_85,0.63225
Zhen_SDR_76,Zhen_SDR_84,0.72159
Zhen_SDR_39,Zhen_SDR_21,0.54352
Zhen_SDR_39,Zhen_SDR_36,0.693
Zhen_SDR_39,Zhen_SDR_77,0.73626
Zhen_SDR_39,Zhen_SDR_75,0.5471
Zhen_SDR_39,Zhen_SDR_48,0.70668
Zhen_SDR_39,Zhen_SDR_5,0.69545
Zhen_SDR_39,Zhen_SDR_11,0.52635
Zhen_SDR_39,Zhen_SDR_12,0.65905
Zhen_SDR_39,Zhen_SDR_42,0.71722
Zhen_SDR_39,Zhen_SDR_22,0.63642
Zhen_SDR_39,Zhen_SDR_31,0.42522
Zhen_SDR_39,Zhen_SDR_40,0.81601
Zhen_SDR_39,Zhen_SDR_67,0.75343
Zhen_SDR_39,Zhen_SDR_54,0.7358
Zhen_SDR_39,Zhen_SDR_24,0.67461
Zhen_SDR_39,Zhen_SDR_15,0.54582
Zhen_SDR_39,Zhen_SDR_3,0.73657
Zhen_SDR_39,Zhen_SDR_53,0.73224
Zhen_SDR_39,Zhen_SDR_58,0.70501
Zhen_SDR_39,Zhen_SDR_38,0.75472
Zhen_SDR_39,Zhen_SDR_43,0.6403
Zhen_SDR_39,Zhen_SDR_28,0.69751
Zhen_SDR_39,Zhen_SDR_27,0.61065
Zhen_SDR_39,Zhen_SDR_92,0.64338
Zhen_SDR_39,Zhen_SDR_13,0.65534
Zhen_SDR_39,Zhen_SDR_50,0.78556
Zhen_SDR_39,Zhen_SDR_91,0.58637
Zhen_SDR_39,Zhen_SDR_16,0.73979
Zhen_SDR_39,Zhen_SDR_55,0.69942
Zhen_SDR_39,Zhen_SDR_37,0.80714
Zhen_SDR_39,Zhen_SDR_66,0.64139
Zhen_SDR_39,Zhen_SDR_89,0.49128
Zhen_SDR_39,Zhen_SDR_69,0.60489
Zhen_SDR_39,Zhen_SDR_79,0.71826
Zhen_SDR_39,Zhen_SDR_82,0.6997
Zhen_SDR_39,Zhen_SDR_57,0.58191
Zhen_SDR_39,Zhen_SDR_47,0.70154
Zhen_SDR_39,Zhen_SDR_14,0.73531
Zhen_SDR_39,Zhen_SDR_18,0.74653
Zhen_SDR_39,Zhen_SDR_19,0.58704
Zhen_SDR_39,Zhen_SDR_86,0.55493
Zhen_SDR_39,Zhen_SDR_68,0.62248
Zhen_SDR_39,Zhen_SDR_72,0.60503
Zhen_SDR_39,Zhen_SDR_87,0.73708
Zhen_SDR_39,Zhen_SDR_1,0.84792
Zhen_SDR_39,Zhen_SDR_78,0.73219
Zhen_SDR_39,Zhen_SDR_4,0.72046
Zhen_SDR_39,Zhen_SDR_2,0.79877
Zhen_SDR_39,Zhen_SDR_33,0.62322
Zhen_SDR_39,Zhen_SDR_46,0.72017
Zhen_SDR_39,Zhen_SDR_23,0.46447
Zhen_SDR_39,Zhen_SDR_63,0.67936
Zhen_SDR_39,Zhen_SDR_81,0.63923
Zhen_SDR_39,Zhen_SDR_88,0.73799
Zhen_SDR_39,Zhen_SDR_61,0.64695
Zhen_SDR_39,Zhen_SDR_83,0.66667
Zhen_SDR_39,Zhen_SDR_34,0.65535
Zhen_SDR_39,Zhen_SDR_6,0.66512
Zhen_SDR_39,Zhen_SDR_90,0.62941
Zhen_SDR_39,Zhen_SDR_60,0.72024
Zhen_SDR_39,Zhen_SDR_17,0.72409
Zhen_SDR_39,Zhen_SDR_52,0.61501
Zhen_SDR_39,Zhen_SDR_32,0.74197
Zhen_SDR_39,Zhen_SDR_56,0.7669
Zhen_SDR_39,Zhen_SDR_8,0.64689
Zhen_SDR_39,Zhen_SDR_35,0.79367
Zhen_SDR_39,Zhen_SDR_62,0.65721
Zhen_SDR_39,Zhen_SDR_65,0.70951
Zhen_SDR_39,Zhen_SDR_25,0.68836
Zhen_SDR_39,Zhen_SDR_30,0.60178
Zhen_SDR_39,Zhen_SDR_59,0.71516
Zhen_SDR_39,Zhen_SDR_51,0.64596
Zhen_SDR_39,Zhen_SDR_71,0.58312
Zhen_SDR_39,Zhen_SDR_10,0.55841
Zhen_SDR_39,Zhen_SDR_64,0.68578
